listing_id,date
4287606,2015-05-24
4287606,2015-05-28
4287606,2015-06-02
4287606,2015-06-10
4287606,2015-06-12
4287606,2015-07-03
4287606,2015-07-11
4287606,2015-07-13
4287606,2015-07-24
4287606,2015-08-24
4287606,2015-09-13
4287606,2015-09-21
5511193,2015-04-05
5511193,2015-09-28
8312886,2015-09-21
8312886,2015-09-28
852229,2013-02-26
852229,2013-10-28
852229,2014-02-09
852229,2014-02-12
852229,2014-04-22
852229,2014-12-08
852229,2014-12-30
852229,2015-01-09
852229,2015-01-18
6596881,2015-06-08
6596881,2015-06-14
6596881,2015-07-12
6596881,2015-07-30
6596881,2015-08-07
6596881,2015-08-11
6596881,2015-08-16
6596881,2015-08-19
6596881,2015-08-24
5059383,2015-04-12
5059383,2015-04-23
5059383,2015-05-08
5059383,2015-05-12
5059383,2015-05-16
5059383,2015-06-19
5059383,2015-07-05
5059383,2015-07-11
5059383,2015-07-19
5059383,2015-07-22
5059383,2015-07-25
5059383,2015-08-05
5059383,2015-08-07
5059383,2015-08-09
5059383,2015-08-16
5059383,2015-08-23
5059383,2015-09-06
5059383,2015-09-10
5059383,2015-09-13
5059383,2015-09-17
5059383,2015-09-28
5051786,2015-01-27
6093811,2015-09-06
6093811,2015-09-13
4683236,2014-12-13
4683236,2015-01-09
4683236,2015-01-23
4683236,2015-01-24
4683236,2015-01-26
4683236,2015-01-30
4683236,2015-03-11
4683236,2015-03-23
4683236,2015-09-21
2023152,2014-04-28
2023152,2015-01-16
2023152,2015-06-22
3534385,2014-09-21
3534385,2014-10-08
3534385,2014-10-30
3534385,2014-11-21
3534385,2015-02-15
3534385,2015-02-24
3534385,2015-03-16
3534385,2015-04-05
3534385,2015-04-23
3534385,2015-04-26
3534385,2015-05-01
3534385,2015-06-06
3534385,2015-06-08
3534385,2015-06-14
3534385,2015-06-22
3534385,2015-06-29
3534385,2015-07-05
3534385,2015-07-18
3534385,2015-07-24
3534385,2015-08-01
3534385,2015-09-07
3534385,2015-09-10
3534385,2015-09-21
3534385,2015-09-25
3534385,2015-09-27
1941409,2013-12-10
1941409,2013-12-29
1941409,2014-01-03
1941409,2014-08-26
1941409,2014-12-09
1941409,2015-01-07
1941409,2015-02-23
5751430,2015-04-17
5751430,2015-05-30
5751430,2015-06-03
5751430,2015-06-10
5751430,2015-06-28
5751430,2015-07-01
5751430,2015-07-04
5751430,2015-07-07
5751430,2015-07-14
5751430,2015-07-21
5751430,2015-08-11
5751430,2015-08-14
5751430,2015-08-19
5751430,2015-08-29
5093918,2015-02-24
5093918,2015-03-02
5093918,2015-03-11
5093918,2015-03-21
5093918,2015-03-28
5093918,2015-04-30
5093918,2015-05-05
5093918,2015-05-12
5093918,2015-05-17
5093918,2015-05-28
5093918,2015-05-31
5093918,2015-06-28
5093918,2015-08-02
5093918,2015-08-05
5093918,2015-08-14
5093918,2015-09-02
5093918,2015-09-07
5093918,2015-09-13
5093918,2015-09-27
5093918,2015-09-30
792913,2013-11-26
792913,2014-01-02
792913,2015-01-02
8135527,2015-09-12
8427151,2015-09-20
5376097,2015-04-30
5376097,2015-05-26
5376097,2015-06-01
5376097,2015-07-23
5376097,2015-08-08
2884264,2014-05-06
2884264,2014-07-07
2884264,2014-07-27
2884264,2014-09-26
2884264,2014-09-28
2884264,2014-10-04
2884264,2014-10-05
2884264,2014-10-09
2884264,2014-10-26
2884264,2014-11-04
2884264,2014-11-12
2884264,2015-01-05
2884264,2015-01-09
2884264,2015-01-16
2884264,2015-01-26
2884264,2015-02-09
2884264,2015-02-14
2884264,2015-02-22
2884264,2015-02-26
2884264,2015-03-05
2884264,2015-04-16
2884264,2015-05-21
2884264,2015-07-25
5829635,2015-04-10
5829635,2015-04-14
5829635,2015-04-22
5829635,2015-05-15
5829635,2015-05-31
5829635,2015-06-13
5829635,2015-07-19
5829635,2015-08-07
5829635,2015-08-12
4887039,2015-08-22
5634585,2015-07-28
2920687,2014-05-19
2920687,2014-05-29
2920687,2014-06-03
2920687,2014-08-16
2920687,2014-10-26
2920687,2014-10-30
2920687,2014-12-24
2920687,2015-01-14
2920687,2015-01-26
2920687,2015-02-26
2920687,2015-03-11
2920687,2015-03-26
2920687,2015-06-07
2920687,2015-06-29
